weapon_name,weapon_link
Tonbogiri,/wiki/Tonbogiri
Boomerangs,/wiki/Boomerangs
Wooden,/wiki/Wooden_Boomerang
Enchanted,/wiki/Enchanted_Boomerang
Ice,/wiki/Ice_Boomerang
Shroomerang,/wiki/Shroomerang
Fruitcake Chakram,/wiki/Fruitcake_Chakram
Bloody Machete,/wiki/Bloody_Machete
Thorn Chakram,/wiki/Thorn_Chakram
Combat Wrench,/wiki/Combat_Wrench
Flamarang,/wiki/Flamarang
Flying Knife,/wiki/Flying_Knife
Light Disc,/wiki/Light_Disc
Bananarang,/wiki/Bananarang
Sergeant United Shield,/wiki/Sergeant_United_Shield
Paladin's Hammer,/wiki/Paladin%27s_Hammer
Possessed Hatchet,/wiki/Possessed_Hatchet
Flails,/wiki/Flails
Chain Knife,/wiki/Chain_Knife
Mace,/wiki/Mace
Flaming Mace,/wiki/Flaming_Mace
Ball O' Hurt,/wiki/Ball_O%27_Hurt
The Meatball,/wiki/The_Meatball
Blue Moon,/wiki/Blue_Moon
Anchor,/wiki/Anchor
Sunfury,/wiki/Sunfury
KO Cannon,/wiki/KO_Cannon
Chain Guillotines,/wiki/Chain_Guillotines
Dao of Pow,/wiki/Dao_of_Pow
Drippler Crippler,/wiki/Drippler_Crippler
Flower Pow,/wiki/Flower_Pow
Golem Fist,/wiki/Golem_Fist
Flairon,/wiki/Flairon
Yoyos,/wiki/Yoyos
Wooden Yoyo,/wiki/Wooden_Yoyo
Rally,/wiki/Rally
Malaise,/wiki/Malaise
Artery,/wiki/Artery
Amazon,/wiki/Amazon
Code 1,/wiki/Code_1
Valor,/wiki/Valor
Cascade,/wiki/Cascade
Format:C,/wiki/Format:C
Chik,/wiki/Chik
Hel-Fire,/wiki/Hel-Fire
Amarok,/wiki/Amarok
Code 2,/wiki/Code_2
Gradient,/wiki/Gradient
Yelets,/wiki/Yelets
Red's Throw,/wiki/Red%27s_Throw
Valkyrie Yoyo,/wiki/Valkyrie_Yoyo
Kraken,/wiki/Kraken
The Eye of Cthulhu,/wiki/The_Eye_of_Cthulhu
Terrarian,/wiki/Terrarian
Terragrim,/wiki/Terragrim
Arkhalis,/wiki/Arkhalis
Shadowflame Knife,/wiki/Shadowflame_Knife
Jousting Lance,/wiki/Jousting_Lance
Hallowed,/wiki/Hallowed_Jousting_Lance
Shadow,/wiki/Shadow_Jousting_Lance
Sleepy Octopod,/wiki/Sleepy_Octopod
Scourge of the Corruptor,/wiki/Scourge_of_the_Corruptor
Vampire Knives,/wiki/Vampire_Knives
Sky Dragon's Fury,/wiki/Sky_Dragon%27s_Fury
Daybreak,/wiki/Daybreak
Solar Eruption,/wiki/Solar_Eruption
Zenith,/wiki/Zenith
Scythe,/wiki/Scythe
Soul Scythe,/wiki/Soul_Scythe
Icemourne,/wiki/Icemourne
Arrow consuming,/wiki/Arrows
Bows,/wiki/Bows
Wooden,/wiki/Wooden_Bow
Boreal,/wiki/Boreal_Wood_Bow
Palm,/wiki/Palm_Wood_Bow
Rich Mahogany,/wiki/Rich_Mahogany_Bow
Ebonwood,/wiki/Ebonwood_Bow
Shadewood,/wiki/Shadewood_Bow
Pearlwood,/wiki/Pearlwood_Bow
Ash,/wiki/Ash_Wood_Bow
Copper,/wiki/Copper_Bow
Tin,/wiki/Tin_Bow
Iron,/wiki/Iron_Bow
Lead,/wiki/Lead_Bow
Silver,/wiki/Silver_Bow
Tungsten,/wiki/Tungsten_Bow
Gold,/wiki/Gold_Bow
Platinum,/wiki/Platinum_Bow
Blood Rain,/wiki/Blood_Rain_Bow
Demon,/wiki/Demon_Bow
Tendon,/wiki/Tendon_Bow
Hellwing,/wiki/Hellwing_Bow
The Bee's Knees,/wiki/The_Bee%27s_Knees
Molten Fury,/wiki/Molten_Fury
Marrow,/wiki/Marrow
Phantom Phoenix,/wiki/Phantom_Phoenix
Daedalus Stormbow,/wiki/Daedalus_Stormbow
Ice,/wiki/Ice_Bow
Shadowflame,/wiki/Shadowflame_Bow
Aerial Bane,/wiki/Aerial_Bane
Tsunami,/wiki/Tsunami
Pulse,/wiki/Pulse_Bow
Eventide,/wiki/Eventide
Phantasm,/wiki/Phantasm
Sharanga,/wiki/Sharanga
Repeaters,/wiki/Repeaters
Cobalt,/wiki/Cobalt_Repeater
Palladium,/wiki/Palladium_Repeater
Mythril,/wiki/Mythril_Repeater
Orichalcum,/wiki/Orichalcum_Repeater
Adamantite,/wiki/Adamantite_Repeater
Titanium,/wiki/Titanium_Repeater
Hallowed,/wiki/Hallowed_Repeater
Chlorophyte Shotbow,/wiki/Chlorophyte_Shotbow
Vulcan,/wiki/Vulcan_Repeater
Bullet consuming,/wiki/Bullets
Manual Guns,/wiki/Guns
Flintlock Pistol,/wiki/Flintlock_Pistol
Boomstick,/wiki/Boomstick
The Undertaker,/wiki/The_Undertaker
Handgun,/wiki/Handgun
Shotgun,/wiki/Shotgun
Quad-Barrel Shotgun,/wiki/Quad-Barrel_Shotgun
Revolver,/wiki/Revolver
Phoenix Blaster,/wiki/Phoenix_Blaster
Onyx Blaster,/wiki/Onyx_Blaster
Venus Magnum,/wiki/Venus_Magnum
Sniper Rifle,/wiki/Sniper_Rifle
Egg Cannon,/wiki/Egg_Cannon
Minishark,/wiki/Minishark
Pew-matic Horn,/wiki/Pew-matic_Horn
Clockwork Assault Rifle,/wiki/Clockwork_Assault_Rifle
Red Ryder,/wiki/Red_Ryder
Gatligator,/wiki/Gatligator
Megashark,/wiki/Megashark
Musket,/wiki/Musket
Tactical Shotgun,/wiki/Tactical_Shotgun
Uzi,/wiki/Uzi
Chain Gun,/wiki/Chain_Gun
Xenopopper,/wiki/Xenopopper
Vortex Beater,/wiki/Vortex_Beater
S.D.M.G.,/wiki/S.D.M.G.
Rocket consuming,/wiki/Rocket
Proximity Mine Launcher,/wiki/Proximity_Mine_Launcher
Rocket Launcher,/wiki/Rocket_Launcher
Grenade Launcher,/wiki/Grenade_Launcher
Snowman Cannon,/wiki/Snowman_Cannon
Electrosphere Launcher,/wiki/Electrosphere_Launcher
Celebration,/wiki/Celebration
Celebration Mk2,/wiki/Celebration_Mk2
Alternate Ammo,/wiki/Ammunition
Arrows,/wiki/Arrows
Stake Launcher,/wiki/Stake_Launcher
Bullets,/wiki/Bullets
Candy Corn Rifle,/wiki/Candy_Corn_Rifle
Coin Gun,/wiki/Coin_Gun
Rockets,/wiki/Rocket
Stynger,/wiki/Stynger
Jack 'O Lantern Launcher,/wiki/Jack_%27O_Lantern_Launcher
Nail Gun,/wiki/Nail_Gun
Darts,/wiki/Darts
Blowpipe,/wiki/Blowpipe
Blowgun,/wiki/Blowgun
Dart Pistol,/wiki/Dart_Pistol
Dart Rifle,/wiki/Dart_Rifle
Gel,/wiki/Gel
Flamethrower,/wiki/Flamethrower
Elf Melter,/wiki/Elf_Melter
Ale Tosser,/wiki/Ale_Tosser
Bone Glove,/wiki/Bone_Glove
Flare Gun,/wiki/Flare_Gun
Sandgun,/wiki/Sandgun
Snowball Cannon,/wiki/Snowball_Cannon
Star Cannon,/wiki/Star_Cannon
Super Star Shooter,/wiki/Super_Star_Shooter
Water Gun,/wiki/Water_Gun
Slime Gun,/wiki/Slime_Gun
Paintball Gun,/wiki/Paintball_Gun
Harpoon,/wiki/Harpoon
Piranha Gun,/wiki/Piranha_Gun
Toxikarp,/wiki/Toxikarp
Paper Airplanes,/wiki/Paper_Airplanes
Snowball,/wiki/Snowball
Rotten Egg,/wiki/Rotten_Egg
Shuriken,/wiki/Shuriken
Throwing Knife,/wiki/Throwing_Knife
Bone,/wiki/Bone_Throwing_Knife
Poisoned,/wiki/Poisoned_Knife
Star Anise,/wiki/Star_Anise
Spiky Ball,/wiki/Spiky_Ball
Frost Daggerfish,/wiki/Frost_Daggerfish
Javelin,/wiki/Javelin
Bone,/wiki/Bone_Javelin
Holy Water,/wiki/Holy_Water
Unholy,/wiki/Unholy_Water
Blood,/wiki/Blood_Water
Bone,/wiki/Bone
Molotov Cocktail,/wiki/Molotov_Cocktail
Beenade,/wiki/Beenade
Grenade,/wiki/Grenade
Sticky,/wiki/Sticky_Grenade
Bouncy,/wiki/Bouncy_Grenade
Happy,/wiki/Happy_Grenade
Gem Staves,/wiki/Gem_staves
Amethyst Staff,/wiki/Amethyst_Staff
Topaz Staff,/wiki/Topaz_Staff
Sapphire Staff,/wiki/Sapphire_Staff
Emerald Staff,/wiki/Emerald_Staff
Amber Staff,/wiki/Amber_Staff
Ruby Staff,/wiki/Ruby_Staff
Diamond Staff,/wiki/Diamond_Staff
Wand of Sparking,/wiki/Wand_of_Sparking
Gray Zapinator,/wiki/Gray_Zapinator
Aqua Scepter,/wiki/Aqua_Scepter
Thunder Zapper,/wiki/Thunder_Zapper
Space Gun,/wiki/Space_Gun
Ice Rod,/wiki/Ice_Rod
Golden Shower,/wiki/Golden_Shower
Demon Scythe,/wiki/Demon_Scythe
Laser Rifle,/wiki/Laser_Rifle
Magic Dagger,/wiki/Magic_Dagger
Orange Zapinator,/wiki/Orange_Zapinator
Sky Fracture,/wiki/Sky_Fracture
Shadowflame Hex Doll,/wiki/Shadowflame_Hex_Doll
Crystal Serpent,/wiki/Crystal_Serpent
Leaf Blower,/wiki/Leaf_Blower
Frost Staff,/wiki/Frost_Staff
Poison Staff,/wiki/Poison_Staff
Razorpine,/wiki/Razorpine
Heat Ray,/wiki/Heat_Ray
Venom Staff,/wiki/Venom_Staff
Unholy Trident,/wiki/Unholy_Trident
Bubble Gun,/wiki/Bubble_Gun
Laser Machinegun,/wiki/Laser_Machinegun
Charged Blaster Cannon,/wiki/Charged_Blaster_Cannon
Last Prism,/wiki/Last_Prism
Betsy's Wrath,/wiki/Betsy%27s_Wrath
Zapinator,/wiki/Zapinator
Vilethorn,/wiki/Vilethorn
Nettle Burst,/wiki/Nettle_Burst
Crimson Rod,/wiki/Crimson_Rod
Nimbus Rod,/wiki/Nimbus_Rod
Clinger Staff,/wiki/Clinger_Staff
Crystal Vile Shard,/wiki/Crystal_Vile_Shard
Blood Thorn,/wiki/Blood_Thorn
Magnet Sphere,/wiki/Magnet_Sphere
Rainbow Gun,/wiki/Rainbow_Gun
Inferno Fork,/wiki/Inferno_Fork
Toxic Flask,/wiki/Toxic_Flask
Tome of Infinite Wisdom,/wiki/Tome_of_Infinite_Wisdom
Resonance Scepter,/wiki/Resonance_Scepter
Bee Gun,/wiki/Bee_Gun
Book of Skulls,/wiki/Book_of_Skulls
Weather Pain,/wiki/Weather_Pain
Medusa Head,/wiki/Medusa_Head
Spirit Flame,/wiki/Spirit_Flame
Wasp Gun,/wiki/Wasp_Gun
Bat Scepter,/wiki/Bat_Scepter
Razorblade Typhoon,/wiki/Razorblade_Typhoon
Nightglow,/wiki/Nightglow
Stellar Tune,/wiki/Stellar_Tune
Spectre Staff,/wiki/Spectre_Staff
Nebula Blaze,/wiki/Nebula_Blaze
Nebula Arcanum,/wiki/Nebula_Arcanum
Water Bolt,/wiki/Water_Bolt
Flower of Fire,/wiki/Flower_of_Fire
Crystal Storm,/wiki/Crystal_Storm
Cursed Flames,/wiki/Cursed_Flames
Flower of Frost,/wiki/Flower_of_Frost
Magical Harp,/wiki/Magical_Harp
Staff of Earth,/wiki/Staff_of_Earth
Shadowbeam Staff,/wiki/Shadowbeam_Staff
Magic Missile,/wiki/Magic_Missile
Flamelash,/wiki/Flamelash
Meteor Staff,/wiki/Meteor_Staff
Rainbow Rod,/wiki/Rainbow_Rod
Life Drain,/wiki/Life_Drain
Blizzard Staff,/wiki/Blizzard_Staff
Lunar Flare,/wiki/Lunar_Flare
Finch Staff,/wiki/Finch_Staff
Slime Staff,/wiki/Slime_Staff
Flinx Staff,/wiki/Flinx_Staff
Abigail's Flower,/wiki/Abigail%27s_Flower
Vampire Frog Staff,/wiki/Vampire_Frog_Staff
Hornet Staff,/wiki/Hornet_Staff
Imp Staff,/wiki/Imp_Staff
Blade Staff,/wiki/Blade_Staff
Spider Staff,/wiki/Spider_Staff
Sanguine Staff,/wiki/Sanguine_Staff
Optic Staff,/wiki/Optic_Staff
Pirate Staff,/wiki/Pirate_Staff
Pygmy Staff,/wiki/Pygmy_Staff
Desert Tiger Staff,/wiki/Desert_Tiger_Staff
Raven Staff,/wiki/Raven_Staff
Deadly Sphere Staff,/wiki/Deadly_Sphere_Staff
Tempest Staff,/wiki/Tempest_Staff
Terraprisma,/wiki/Terraprisma
Xeno Staff,/wiki/Xeno_Staff
Stardust Cell Staff,/wiki/Stardust_Cell_Staff
Stardust Dragon Staff,/wiki/Stardust_Dragon_Staff
Houndius Shootius,/wiki/Houndius_Shootius
Queen Spider Staff,/wiki/Queen_Spider_Staff
Staff of the Frost Hydra,/wiki/Staff_of_the_Frost_Hydra
Lunar Portal Staff,/wiki/Lunar_Portal_Staff
Rainbow Crystal Staff,/wiki/Rainbow_Crystal_Staff
Ballista Cane/Rod/Staff,/wiki/Ballista_sentry_summons
Explosive Trap Cane/Rod/Staff,/wiki/Explosive_Trap_sentry_summons
Flameburst Cane/Rod/Staff,/wiki/Flameburst_sentry_summons
Lightning Aura Cane/Rod/Staff,/wiki/Lightning_Aura_sentry_summons
Whips,/wiki/Whips
Leather Whip,/wiki/Leather_Whip
Snapthorn,/wiki/Snapthorn
Spinal Tap,/wiki/Spinal_Tap
Firecracker,/wiki/Firecracker
Cool Whip,/wiki/Cool_Whip
Durendal,/wiki/Durendal
Dark Harvest,/wiki/Dark_Harvest
Morning Star,/wiki/Morning_Star
Kaleidoscope,/wiki/Kaleidoscope
Bone Glove,/wiki/Bone_Glove
Ale Tosser,/wiki/Ale_Tosser
Snowball,/wiki/Snowball
Shuriken,/wiki/Shuriken
Star Anise,/wiki/Star_Anise
Rotten Egg,/wiki/Rotten_Egg
Throwing Knife,/wiki/Throwing_Knife
Poisoned,/wiki/Poisoned_Knife
Bone,/wiki/Bone_Throwing_Knife
Grenade,/wiki/Grenade
Bee,/wiki/Beenade
Happy,/wiki/Happy_Grenade
Sticky,/wiki/Sticky_Grenade
Bouncy,/wiki/Bouncy_Grenade
Spiky Ball,/wiki/Spiky_Ball
Javelin,/wiki/Javelin
Bone,/wiki/Bone_Javelin
Frost Daggerfish,/wiki/Frost_Daggerfish
Bone,/wiki/Bone
Molotov Cocktail,/wiki/Molotov_Cocktail
Explosive,/wiki/Explosives_(class)
Bomb,/wiki/Bomb
Sticky,/wiki/Sticky_Bomb
Bouncy,/wiki/Bouncy_Bomb
Scarab,/wiki/Scarab_Bomb
Dynamite,/wiki/Dynamite
Sticky,/wiki/Sticky_Dynamite
Bouncy,/wiki/Bouncy_Dynamite
Bomb Fish,/wiki/Bomb_Fish
Holy Hand Grenade,/wiki/Holy_Hand_Grenade
Snowball Launcher,/wiki/Snowball_Launcher
Cannon,/wiki/Cannon
Bunny Cannon,/wiki/Bunny_Cannon
Land Mine,/wiki/Land_Mine
Traps,/wiki/Traps
Lava,/wiki/Lava
